Designator,Mid X,Mid Y,Rotation,Layer
J1,116.0,-106.275,0.0,top
J2,137.0,-106.275,0.0,top
J3,158.0,-106.275,0.0,top
J4,179.0,-106.275,0.0,top
J5,155.0,-74.0,180.0,top
J6,173.0,-74.0,180.0,top
J7,138.75,-88.0,0.0,top
U1,111.0,-85.0,90.0,top
