Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J3, J4",USB_A_4P_Female,4,USB_A,
"J5, J6",Audio_Jack_3P,2,AudioJack3,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
U1,XIAO-RP2040-DIP,1,SeeeduinoXIAO,
