Designator,Mid X,Mid Y,Rotation,Layer
C1,160.5,-87.9075,90.0,top
C2,163.0,-88.0,90.0,top
C3,166.0,-87.9325,90.0,top
C4,169.0,-87.9325,90.0,top
J1,167.0,-99.78,0.0,top
J2,132.0,-80.375,0.0,top
Q1,151.0,-101.0,180.0,top
R1,125.0,-104.5,270.0,top
R2,130.0,-104.5,270.0,top
R3,134.5,-104.5,90.0,top
R4,139.5,-104.5,90.0,top
U1,152.5,-88.5,270.0,top
