Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0201,2,C,
"C3, C4",0402,2,C,
J1,USB_A_4P_Female,1,USB_A,
J2,24bitADC_CN2_CN3,1,Conn_01x04_Socket,
Q1,SOT-23,1,MMBT3906,
"R1, R2, R3, R4",0603,4,R,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,HX711,
